id,title,price,promo_price,url
6801,Ершик для чистки вентиляционной системы Dr Brown's 4шт 620,429,,https://www.detmir.ru/product/index/id/6801/
3275531,Ершик для бутылочек Chicco 340728264,939,,https://www.detmir.ru/product/index/id/3275531/
3284549,Гель для мытья посуды Fairy 900мл 81714036,349,289,https://www.detmir.ru/product/index/id/3284549/
3112457,Ершик для бутылочки Dr Brown's Делюкс AC110,675,539,https://www.detmir.ru/product/index/id/3112457/
4880908,Таблетки для посудомоечной машины 30шт YokoSun 4602009765018,759,395,https://www.detmir.ru/product/index/id/4880908/
3292737,Гель для посуды Meine Liebe клюква и брусника 500мл,189,159,https://www.detmir.ru/product/index/id/3292737/
3335846,Средство для мытья посуды BioMio мандарин 750мл,415,329,https://www.detmir.ru/product/index/id/3335846/
4880903,Гель для мытья посуды YokoSun Алоэ вера 1л,469,329,https://www.detmir.ru/product/index/id/4880903/
3627031,Гель для мытья посуды фруктов овощей и игрушек Mepsi 550мл 0155,225,,https://www.detmir.ru/product/index/id/3627031/
3195555,Набор ершиков Lubby с присоской 2шт 13948,325,239,https://www.detmir.ru/product/index/id/3195555/
3413266,Ершик для бутылочек с губкой Babyono Голубой 720,306,254,https://www.detmir.ru/product/index/id/3413266/
4880909,Таблетки для посудомоечной машины YokoSun 100шт 4602009765032,2319,1089,https://www.detmir.ru/product/index/id/4880909/
3174037,Таблетки для посудомоечных машин Умкa бесфосфатные 28шт,659,,https://www.detmir.ru/product/index/id/3174037/
4233849,Средство для мытья посуды LION Chamgreen с содой и лимонной кислотой 965 мл,881,352,https://www.detmir.ru/product/index/id/4233849/
3163928,Щётка для мытья бутылочек и сосок BABOO 3в1 4-302,285,,https://www.detmir.ru/product/index/id/3163928/
4484880,Гель для посуды Zelenka с экстрактом яблока 0.5л,179,,https://www.detmir.ru/product/index/id/4484880/
246231,Ершик Canpol Babies Розовый 56/122,765,305,https://www.detmir.ru/product/index/id/246231/
3252846,Щётка для мытья бутылочек Medela 101037160,489,429,https://www.detmir.ru/product/index/id/3252846/
3470062,Пена для мытья посуды и игрушек WONDER Lab с 0месяцев 240мл,255,149,https://www.detmir.ru/product/index/id/3470062/
4003323,Средство для мытья посуды Лайма 5л концентрат Яблоко,886,505,https://www.detmir.ru/product/index/id/4003323/
3533416,Щётка для бутылочек Everyday baby черничный,1290,610,https://www.detmir.ru/product/index/id/3533416/
246211,Ершик Canpol Babies Зеленый 56/122,765,305,https://www.detmir.ru/product/index/id/246211/
3856237,Ершик ПОМА синий Пома,328,295,https://www.detmir.ru/product/index/id/3856237/
3599747,Средство ATTITUDE для овощей и фруктов Жидкость 800 мл,964,,https://www.detmir.ru/product/index/id/3599747/
3969407,Таблетки ATTITUDE Для посудомоечных машин 26 шт,1592,,https://www.detmir.ru/product/index/id/3969407/
4424704,Гель для мытья посуды WONDER Lab нейтральный 550мл,275,205,https://www.detmir.ru/product/index/id/4424704/
3810588,Средство для мытья посуды Солнце и луна Eco без запаха 0.5л,169,,https://www.detmir.ru/product/index/id/3810588/
3856212,Ершик ПОМА зеленый Пома,391,351,https://www.detmir.ru/product/index/id/3856212/
3292736,Гель для посуды Meine Liebe манго и лайм 500мл,189,,https://www.detmir.ru/product/index/id/3292736/
4108124,Пена для мытья посуды BioMio Bio-Foam Лемонграсс 350мл,409,,https://www.detmir.ru/product/index/id/4108124/
3275799,Средство для мытья посуды Наша Мама с ромашкой и алоэ вера гипоаллергенный 500мл,339,299,https://www.detmir.ru/product/index/id/3275799/
4472089,Набор ёршиков для бутылочек Happy Baby 2шт Olive 11001,329,,https://www.detmir.ru/product/index/id/4472089/
4424690,Пена для мытья овощей и фруктов WONDER Lab нейтральная 450мл,485,435,https://www.detmir.ru/product/index/id/4424690/
